"","value.var"
"A0A1S3M4K8",-0.0161362339818313
"A0A1S3KKY3",-0.0161359968574053
"A0A1S3P0F0",-0.0161351954631511
"A0A1S3L6H8",-0.0161332604614611
"A0A1S3SUE2",-0.0161298043058227
"A0A1S3PP97",-0.016129237056679
"A0A1S3RCN8",-0.0161288081965962
"A0A1S3SRS0",-0.0161241407245484
"C0HB27",-0.0161233955490153
"B9EPN7",-0.0161233600616338
"A0A1S3LHG1",-0.0161230658801072
"B5X1Q5",-0.0161226210328673
"B5X6K0",-0.0161225812155959
"A0A1S3RID5",-0.0161208298444313
"A0A1S3SLY7",-0.0161198850673729
"A0A1S3PSN7",-0.0161183880819041
"A0A1S3QJA2",-0.0161165776323046
"B5DGZ0",-0.016115796490949
"A0A1S3MYU4",-0.0161140579863564
"C0HAL2",-0.0161116192348811
"A0A1S3NV40",-0.0161094629460322
"A0A1S3PMY8",-0.0161092504496239
"A0A1S3NA46",-0.0161090607559107
"A0A1S3Q3N4",-0.0161090052273297
"B5X8A9",-0.0161077544917072
"B5XER9",-0.016106676601611
"A0A1S3QJY5",-0.016104857824252
"A0A1S3PMW0",-0.0161041387169497
"A0A1S3PCQ1",-0.0161019483202513
"C0H9X1",-0.0161007722350918
"A0A1S3LSH1",-0.0160987800965178
"A0A1S3KYK1",-0.0160985614573739
