Protein.Group;Protein.Names;Genes;First.Protein.Description;Muestra12;Muestra13;Muestra18;Muestra14;Muestra15;Muestra19;Muestra04;Muestra05;Muestra06;Muestra07;Muestra08;Muestra09;Muestra17;Muestra10;Muestra11;Muestra16;Muestra20;Muestra01;Muestra02;Muestra03;Muestra21;Muestra22;Muestra23;mean_abundance
A0A1S3Q930   ;Protein FAN;nsmaf;;17538,4;15165;21481,4;14158,9;19342,7;18004;18107,7;19920,9;19545;18200,9;19473,3;22813,2;;;;;;20207;23399,6;20096,6;12041,5;22252,6;19764,8;18972,97222
A0A1S3Q932   ;Gamma-adducin-like isoform X3;LOC106590181;Belongs to the aldolase class II family. Adducin subfamily;;;11860,4;15729,7;8223,65;10735,8;11662,7;9697,88;8686,03;6921,06;9677,96;15584,8;24237,4;20079,7;25984,9;16965,4;23186,5;17085,8;13450,9;15130,7;23173,9;14651,1;19106,3;16468,14917
A0A1S3Q941   ;Amyloid beta A4 precursor protein-binding family B member 1-interacting protein;LOC106590233;Belongs to the MRL family;82422;68278,8;91901,2;100089;98529,4;99682,9;107746;121192;104378;133782;117322;131197;17913,7;23654,8;18015,9;13186,1;26568,3;168089;175529;179451;222129;188027;184512;98940,33923
A0A1S3Q944   ;Notchless protein homolog 1;nle1;;47217;47356,4;44685,9;52758;58615,2;55734,5;59494,5;48621,4;42429,6;58795,9;64076,3;56819,3;;;;;;52995,4;52447,6;64810,4;75709,2;62513,4;51600,9;55371,16111
A0A1S3Q957   ;Chromosome transmission fidelity protein 18 homolog;LOC106589977;Belongs to the activator 1 small subunits family. CTF18 subfamily;30973,7;24468,2;30595,3;24897,4;25578,4;32649,2;44617,4;35714;42734,4;34279,8;35798,2;32650,2;;;;;;28677,3;29934,9;29390,8;24573,4;25956,1;18963,2;30691,77222
A0A1S3Q993   ;Transmembrane 9 superfamily member;tm9sf1;Belongs to the nonaspanin (TM9SF) (TC 9.A.2) family;23606,7;;;;;;;;;11142,3;;;;;;;;;;;;;19060,4;17936,46667
A0A1S3Q997   ;phosphoenolpyruvate carboxykinase (GTP);pck2;Belongs to the phosphoenolpyruvate carboxykinase [GTP] family;36969,1;65911,9;42770,5;68361,9;47980;46814,7;59885,7;85708,2;61666,4;40079,4;59173;58111,7;;19658,2;;;;28968;30822,4;28530,1;27479,7;30030,8;30819,8;45775,86842
A0A1S3Q999   ;Eukaryotic translation elongation factor 1 epsilon-1;eef1e1;;77305,8;36612,8;95840,5;38917,3;72061,8;75804,7;94129,7;86051,5;38931,8;117422;106878;106082;;;;;;106962;97827,1;112950;83432,5;112792;111504;87305,86111
A0A1S3Q9A4   ;2,3-dehydroadipyl-CoA hydratase-like isoform X1;LOC106590252;Belongs to the enoyl-CoA hydratase/isomerase family;21845;20700,4;24237,3;23476,7;24360,9;14321,5;19748,7;25863,2;22129,4;25966,6;22346,2;17897,2;33241,2;29432,6;28753,3;20902,9;25995,3;15118,7;21598,8;19997,7;;;16483,1;23341,69583
A0A1S3Q9A9   ;Neuroguidin;ngdn;Belongs to the SAS10 family;14586;17182,1;17089,3;20651,3;13538,6;17537,6;14325,7;17720,3;13634,5;10083,7;11473,2;12296,2;;;;;;15544,8;18770;17450,7;;12320,2;14521,6;15219,16471
A0A1S3Q9B0   ;Integrin beta;LOC106590025;Belongs to the integrin beta chain family;178708;126087;120730;146067;103417;112337;76203,1;112937;92054,3;112610;124311;86308,9;282058;333317;352042;307398;279558;169761;113398;162604;245838;140742;154241;186345,7423
A0A1S3Q9C9   ;Zinc finger CCCH domain-containing protein 15;LOC106590036;Belongs to the ZC3H15/TMA46 family;89037,8;74458,2;86479,9;75071,9;70864,2;77205,7;97108,7;84694,5;88162,5;87059,1;93912,1;83590,3;28837,4;41718,4;36043,8;56343,1;59956,6;88262,3;94751,7;90445,5;119265;98304,8;99729,8;76723,33462
A0A1S3Q9E2   ;Collagen alpha-1(XVIII) chain-like isoform X2;LOC106590282;;16106,9;12315,7;15734;;4334,75;;;;;;;6813,86;4254,83;2429,29;;8668,89;;;5176,18;9754,62;10375,1;8340,61;;8228,246667
A0A1S3Q9F0   ;Reversion-inducing cysteine-rich protein with Kazal motifs-like;LOC106590283;;;6629,91;6179,99;;;;;6591,13;;4914,47;3508,58;3498,62;3051,92;3573,52;3963,85;;5050,93;;;;;;;4764,005833
A0A1S3Q9F6   ;Biogenesis of lysosome-related organelles complex 1 subunit 5;bloc1s5;Belongs to the BLOC1S5 family;37761,6;;42659,6;27177,4;42351,8;28450,3;;67343,1;21712,8;23630;41285,6;39347;;;;;28505;37966,8;40234,2;33799,9;;48690,2;;36737,69375
A0A1S3Q9H6   ;Abl interactor 1 isoform X1;LOC106590302;Belongs to the ABI family;96230,8;160826;140933;178748;130923;149573;199132;230168;227667;151815;161423;211464;66457,1;80566,8;56576,4;113908;85316;188051;174781;177569;236904;207119;174132;148911,5
A0A1S3Q9J0   ;Serpin B6;LOC106590292;Belongs to the serpin family. Ov-serpin subfamily;577452;642738;631786;616703;497768;699576;738139;801213;708228;795352;794267;783204;114832;121236;77355,9;153859;94511,7;533285;498236;359170;523060;581690;556942;470534,3038
A0A1S3Q9K0   ;ATP-dependent zinc metalloprotease YME1L1-like isoform X1;LOC106590300;"In the C-terminal section; belongs to the peptidase M41 family";13990,3;7820,62;21918,7;10234,9;20118;15665,9;14601;8108,9;5718,46;24239,5;15696,7;;11688,4;14229,3;12751,6;9925,18;10245,5;7653,96;10547,4;11407,5;11783;;9875,38;12526,39833
A0A1S3Q9K6   ;GTPase IMAP family member 2-like;LOC106590308;Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily. AIG1/Toc34/Toc159-like paraseptin GTPase family. IAN subfamily;52643,5;57789,4;39265,8;66956,4;52616,3;64786,6;51906;61628,6;86650,3;38877,5;51299,8;63086,5;;;;;;38466,2;51567,1;56575,5;35075,3;29276,5;39977,4;52135,81667
A0A1S3Q9M5   ;Uncharacterized protein LOC106590316;LOC106590316;Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily. AIG1/Toc34/Toc159-like paraseptin GTPase family. IAN subfamily;17397,9;21057,6;13384,3;;15696,4;19216,1;15297,6;12552,5;15797,5;26159,2;14755,3;14823,6;;;8003,05;;;29467,4;29096,1;28963,4;27192,9;23967,6;25229,6;19616,49211
A0A1S3Q9N0   ;Transcription factor AP-2-alpha;tfap2a;Belongs to the AP-2 family;57899,4;14791,9;62302,5;49529;56677,1;60613,3;31199,4;24883,5;32311,1;86807,4;70874,9;26021,7;76166,4;90938,6;96779,5;19274,7;27012,4;80046,3;52878,5;53372,4;82058;83667;70379,4;55424,60385
A0A1S3Q9N2   ;Late secretory pathway protein AVL9 homolog isoform X1;LOC106590310;Belongs to the AVL9 family;34236,9;43534,9;36427,2;40963,9;51613,7;43877,5;44261,4;43015,1;56663,4;65438,8;48774,9;46225,7;;;;;;41848;36607,2;43427,6;33811,9;38380,8;40447,6;42056,46368
A0A1S3Q9Q8   ;Serine/threonine-protein phosphatase 4 regulatory subunit 1-like isoform X1;LOC106590337;;18510,6;;;;;;;17186;;;22060,8;;;;;;;34418,8;;29310,4;;;;24297,32
