Protein.Group;Protein.Names;Genes;First.Protein.Description;Muestra12;Muestra13;Muestra18;Muestra14;Muestra15;Muestra19;Muestra04;Muestra05;Muestra06;Muestra07;Muestra08;Muestra09;Muestra17;Muestra10;Muestra11;Muestra16;Muestra20;Muestra01;Muestra02;Muestra03;Muestra21;Muestra22;Muestra23;mean_abundance
A0A1S3MZZ8   ;Translation initiation factor eIF2 assembly protein;LOC106576189;Belongs to the CDC123 family;31380;28641,2;27379,8;29670,3;30586,1;29734,1;27256,3;34363,4;28661,3;;20353,5;19832,4;;;;;;27395,7;;;;;21121,2;27413,48462
A0A1S3N001   ;Ubl carboxyl-terminal hydrolase 18-like isoform X2;LOC106576261;;;;3505,07;8797,11;;4725,91;9955,34;8013,02;11326,1;8147,65;7770,51;10343;;;;;;;;;;;;8064,856667
A0A1S3N007   ;Poly polymerase 12 isoform X1;prp12;Belongs to the ARTD/PARP family;11045;12491;10139,3;14232,4;10280,6;12358,9;16281,9;16137,2;17218,2;;10913,8;18079,8;;;;;;17016,4;12372,9;;;13718,2;13647,3;13728,86
A0A1S3N016   ;Protein capicua homolog;LOC106576258;;15071,4;14934,9;9808,36;11066,1;11996,7;7783,95;;12996;11383,3;;;11475,3;;;;;;13843,5;8143,38;;;19625,8;;12344,0575
A0A1S3N017   ;Scm-like with four MBT domains protein 2;LOC106576194;;19289,2;19615,9;16895,3;12669,4;17585,5;18442,6;19507,1;14531,1;11543,1;20262;15625,7;15052,2;;;;;;22709,9;18842,3;19907,4;12960,3;20081,5;19227,1;17485,97778
A0A1S3N018   ;Poly [ADP-ribose] polymerase 12-like;LOC106576038;Belongs to the ARTD/PARP family;34456,4;40243,4;33300,7;39638,2;30849,5;42388,1;34494,6;37620,4;35636;29835,9;30403,4;35487;;;;;;27850,7;29827,7;27733,9;21003,6;31700,3;33307,3;33098,72778
A0A1S3N022   ;Inter-alpha-trypsin inhibitor heavy chain H2-like;LOC106576198;Belongs to the ITIH family;578851;594113;579964;336993;226447;202549;254638;439122;410592;288904;341043;342946;380271;333812;507152;391913;383299;447571;431141;445782;379205;377210;332240;397162,2308
A0A1S3N023   ;Laminin subunit beta-1;LOC100286412;;192947;222594;170140;260175;215216;157217;119330;231611;137389;149880;195021;173593;505848;503971;729528;308004;330226;196227;152364;94993,4;128830;116166;101947;260823,6692
A0A1S3N026   ;Polypeptide N-acetylgalactosaminyltransferase;LOC106576267;Belongs to the glycosyltransferase 2 family. GalNAc-T subfamily;;;;;26979,4;13132,8;;;;;;10601,2;12812,7;;;;11317,9;15934,5;26913,2;21851,6;19157,4;11207,5;21330,5;17385,33636
A0A1S3N035   ;WASH complex subunit 3;LOC106576276;Belongs to the CCDC53 family;18801,5;15993,7;16500,1;18901,1;27417,7;18514,1;16492,5;;;38774,7;31946,9;;;;16331,7;;22403,7;;37205,1;19574,6;;27373,6;43738,4;24603,2125
A0A1S3N047   ;Transmembrane and coiled-coil domains protein 3-like isoform X2;LOC106576298;Belongs to the TEX28 family;20362,1;13487,9;16179,2;13468,8;;16171,5;18301,6;12674,3;14155,1;15966,8;;;17483;11675,5;16920,5;16703,8;26702,9;20705,5;16967,4;15130;19593,2;14750;18360,3;17884,31304
A0A1S3N057   ;Zinc finger protein 135-like isoform X2;LOC106576305;;;3566,04;2320,8;3501,9;5014,32;3728,31;;4731,73;3290,09;;2493,93;3028,67;;;;;;3122,02;5183,69;4191,77;;3897,86;2481,47;3610,9
A0A1S3N068   ;Protein phosphatase 1 regulatory subunit 12A;LOC106576312;;50521,6;40380,1;44228,5;48728,7;63454;41602,4;50504,5;44461,8;50904,5;38497,5;51000,3;52070,6;65686,7;54593,9;77487,8;91200,7;76016,7;48384,2;50383,9;47558;55369,5;52069,3;48947,3;56922,38846
A0A1S3N0B8   ;Acyl-CoA synthetase short-chain family member 3, mitochondrial;acss3;Belongs to the ATP-dependent AMP-binding enzyme family;11110,4;17120,3;55465,6;42585;68419,8;62284,9;58370;51411;51796,7;16844;19473,1;13572,5;;;;;;;4133,9;15554,5;;;5166,76;32887,23067
A0A1S3N0C6   ;Nicotinamide phosphoribosyltransferase;LOC100380855;Belongs to the NAPRTase family;137605;114750;104658;123455;128081;109357;115191;154655;162106;106938;87077,2;175994;7474,51;7712,38;15093,8;12245,9;14493,9;97558,3;98770,8;113603;138574;121176;122924;88647,59962
A0A1S3N0D7   ;Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1;pyroxd1;Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family. PYROXD1 subfamily;8474,24;5944,28;11224,6;9756,94;;;10465,3;11360,4;7105,35;;7962,98;6747,61;;;;;;13164,2;8948,24;9928,88;;8011,79;;9161,139231
A0A1S3N0F0   ;NADH-cytochrome b5 reductase;LOC106576319;Belongs to the flavoprotein pyridine nucleotide cytochrome reductase family;104909;161235;86289,6;230493;142785;132943;92831,3;128355;126970;120902;109397;136511;63896,9;62655;102630;57634,2;40174,3;118658;139073;113238;123419;138337;187397;113039,4077
A0A1S3N0F4   ;Zinc finger protein 629-like isoform X1;LOC106576357;;20763,2;;;;;;25884,4;;22923,7;;;;;;;;;27681,1;17544,1;15453,1;12133,6;;;20340,45714
A0A1S3N0H5   ;Protein kinase C and casein kinase substrate in neurons protein 2-like isoform X1;LOC106576372;;29870,5;30138,7;36694,5;30575,8;21732;28913,8;21633,6;31401,2;29402,2;32860,4;19477;28516,4;31842,1;37099;38679,7;54292,5;39438,7;45431,9;41965,6;34691,7;50895,6;33312;38215,3;35783,86538
A0A1S3N0I8   ;Golgin subfamily B member 1-like isoform X1;LOC106576351;;78291,5;63197,8;76509,1;73256,7;70799,4;73422,6;65010,5;48125,1;56612,8;71327,8;64447,1;60030,4;63230,5;69232,9;60105,6;92898,3;89689,7;74306,8;72043,6;74566,9;90149;73374;72548,5;72245,77308
A0A1S3N0J0   ;[tau protein] kinase;LOC106576382;Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. GSK-3 subfamily;229534;101670;218658;122935;272965;278096;177397;143920;132779;190751;152903;154747;106383;111393;109695;78187;107295;244798;299878;264509;249502;262810;289104;176820,7577
A0A1S3N0K4   ;phenylalanine 4-monooxygenase;LOC106576281;Belongs to the biopterin-dependent aromatic amino acid hydroxylase family;78900,6;72485,1;61457,2;46634,8;35210,9;28618,7;58047,9;82944,4;65588,1;66378,9;79931,3;75514,8;44144,6;42416,1;69993,8;36097,6;53695,7;50182,4;53510,1;33990,2;26096,1;34085;32836,9;53344,50769
A0A1S3N0L3   ;UHRF1-binding protein 1-like isoform X2;LOC106576369;;;;9847,59;;9458,26;9348,53;8213,94;5937,48;;;;8275,73;;;3885,58;;;;;7367,32;12325,4;8177,4;6674,39;8137,42
A0A1S3N0Q4   ;Periodic tryptophan protein 1 homolog;LOC106576395;;124004;95544,6;134443;121494;133938;105548;27291,3;37758,7;37593,4;52623,3;42638,1;42508,7;162223;181536;195100;122122;144672;62559,4;37352,1;56512,9;94627;64663,4;57973,5;99556,63077
A0A1S3N0R1   ;PRKC apoptosis WT1 regulator protein-like isoform X1;LOC106576316;;83708,7;59739,6;74303,9;52158,7;62612,1;79797,2;67207,2;60119,6;48158,1;49742,4;53009,1;48561,4;68618,4;53710,7;52464,9;75728,9;76850,4;72578,9;89302,2;69485,5;81587,8;59408,6;57054,5;65997,48077
A0A1S3N0S4   ;Guanine nucleotide-binding protein G(i) subunit alpha-1;LOC106576428;Belongs to the G-alpha family. G(i/o/t/z) subfamily;94782,5;84765,4;117179;75332;84805,4;81200,1;52389,5;46036,1;46647,8;60530,2;67881,2;56866;17573,2;17617,7;12038,3;10610,7;19931;68730,8;53666,6;79167,6;98760,1;97293,1;93461,3;57101,23846
A0A1S3N0U5   ;Myosin-binding protein C, slow-type-like;LOC106576332;;14086,6;51103;;15167,7;10893,2;8474,52;;15488,3;12619,2;;15423,8;;40904,7;38579,5;26869;59730,3;26566,9;;;23738,2;;;;27942,13059
A0A1S3N0V8   ;Poly [ADP-ribose] polymerase 12-like isoform X1;LOC106576452;Belongs to the ARTD/PARP family;25575,4;16163;22734,9;18959;26220,9;38578,7;26802,2;25955;26318,6;43373,3;34286,9;20060,8;;5368,89;;;;42327,4;42902,9;43538,9;33698;47086,4;30428,5;28827,1515
A0A1S3N0W2   ;Nuclear factor 7, brain-like;LOC106576422;;13266,3;15065,2;12018,7;20961,2;13593,2;10866,8;19278,5;18852;17926,1;14154,1;14779,7;13943,5;;;;;;10230,1;10999,2;20428,6;;7056,92;12909,1;14489,95412
A0A1S3N0W7   ;Myotrophin;LOC106576424;;1540320;1634770;1548350;2195760;1788520;1416710;1242100;1347540;1774550;1435090;1347080;1321670;1400140;1580990;1564880;2301710;1877310;1395750;1397030;1219060;1849900;1395150;1326250;1595249,615
A0A1S3N0X4   ;Lumican;LOC106576454;Belongs to the small leucine-rich proteoglycan (SLRP) family. SLRP class II subfamily;1269100;945659;1224990;647268;571440;526160;786927;948658;799365;1484890;1185120;1416820;981186;952039;960932;893391;956461;2133560;1379660;2072440;3533630;2412200;2139800;1267886,538
A0A1S3N0Z5   ;DNA/RNA-binding protein KIN17-like;LOC106576199;Belongs to the KIN17 family;38097,1;7989,83;41511,3;5667,79;25262,5;24977,2;21191,7;11506,1;10658,5;30522,9;25703,8;19226,4;10544,7;13007,4;9962,95;8554,73;11391,3;34806,5;36762,3;36727;42088,2;39519,9;29599,6;22829,39167
A0A1S3N105   ;DnaJ homolog subfamily C member 2-like;LOC106576480;;73027,9;54613,3;63601,4;46266,7;57320;53404,9;52266;47866,7;57910,6;51831,9;50897,8;46833,3;;;;;;42592,3;38710,3;46758,5;52935,3;47594,5;43937,9;51576,07222
A0A1S3N126   ;Uncharacterized protein LOC106576451;LOC106576451;Belongs to the ARTD/PARP family;;;;4690,36;;;;;6732,35;;;;;;;;;;;;;;;5711,355
A0A1S3N135   ;AT-rich interactive domain-containing protein 2-like isoform X1;LOC106576411;;6158,99;6054,08;7657,02;;6311,48;;5929,48;7863,08;2164,24;7255,04;7813,42;9177,98;;;;;;8616,18;7536,63;7858,71;9801,74;7128,3;;7155,091333
A0A1S3N146   ;Pseudouridylate synthase 7 homolog-like protein isoform X1;LOC106576507;Belongs to the pseudouridine synthase TruD family;24669,9;;;22508,6;24953,1;17302,1;31049,1;21477;;;28321,1;23743,4;;;;;;;17478,6;;;;;23500,32222
A0A1S3N159   ;Muskelin;LOC106576225;;11499,9;11680,9;11476,2;13373,5;;;16359,8;9770,55;13724,9;13273,8;21585,3;11580,9;;;;;5105,65;;12129,5;12357,5;16979,6;13751,2;13480;12476,99294
A0A1S3N190   ;phosphopyruvate hydratase;LOC106576545;Belongs to the enolase family;44638,1;29037,5;41785,8;21128,1;17979,8;18003,2;34659,6;36486;28492,5;25799,5;40573;62423,7;32507,8;34177,4;25079,2;20444,1;21984;27772,6;31906,3;26657,5;33880,3;30434,2;30422;30504,98462
A0A1S3N192   ;Methyltransferase-like protein 25 isoform X2;LOC106576549;;;;;;;14853,3;11252,6;;12199,3;18165,9;;9916,03;;;;;;;;;;;;13277,426
A0A1S3N1A7   ;Tumor protein 63 (p63);LOC106576565;Belongs to the p53 family;26115;23580,2;24020,1;34112,1;21885,6;25319,7;30621,1;33411,8;26708,4;12031,6;20298,7;21220,6;;;;;5345,56;29199,3;30308,6;22060,6;26395,1;29099,8;18170,7;23083,5835
A0A1S3N1B9   ;Solute carrier family 2, facilitated glucose transporter member 3 isoform X2;gtr3;Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family;16742,3;14841,9;23227,2;32292,4;24031,3;19556,7;22577,7;21053;13523,4;37189,4;27016,6;27109,2;;;;;;38523;48588;40154,5;56831,3;50798,1;58113,9;31787,21667
A0A1S3N1C3   ;Probable E3 ubiquitin-protein ligase HERC1;herc1;;4773,02;6281,62;4964,12;6511,65;5253,96;4333;8273,22;6839,96;7248,38;7015,67;8420,18;8296,17;;;;;;4245,15;4430,48;4625,92;;4021,45;3940,22;5851,421765
A0A1S3N1C7   ;Ubiquitin-like modifier-activating enzyme 6;LOC106576580;Belongs to the ubiquitin-activating E1 family;54574,7;60745,7;50780,6;61642,7;42718,7;54578;49990,2;59767,2;62022,4;32652,9;36179,9;55675;;;;;;40419,2;46290,7;44442,6;39735,2;52812;43897,1;49384,71111
A0A1S3N1D8   ;DNA helicase;LOC106576265;Belongs to the SNF2/RAD54 helicase family;137989;120189;129863;100828;118023;114294;115347;109281;100001;117791;119268;113066;53345,9;61447,6;57898,8;61056,6;66449,6;137229;136231;141488;124156;138885;129716;103549,1462
A0A1S3N1E7   ;N(6)-L-threonylcarbamoyladenine synthase;LOC106576589;Belongs to the KAE1 / TsaD family;44173;47704,3;45744,9;41426,4;53694,6;56714,4;60124,2;51710,1;48668,6;41528,1;54526,5;61991,6;;;6395,63;;;52465,7;53299,5;55456;35752,4;59431,4;57994,7;44872,80238
A0A1S3N1F0   ;Eukaryotic translation initiation factor 4 gamma 1-like;LOC106576473;Belongs to the eukaryotic initiation factor 4G family;53178,1;59036,5;54465,1;56953,4;57859;52464,7;57143,9;56654,5;63051,2;39881,1;55586;57931,7;26107,1;44494,8;40200,2;24993,3;32050,4;47826,5;53069,8;43661,1;47696,1;45397,8;49270,5;46959,47308
A0A1S3N1G0   ;Staphylococcal nuclease domain-containing protein;snd1;;864747;702235;834951;515476;708682;768042;734536;616134;594834;826211;733531;698950;285026;329955;258875;314089;323317;766280;857603;761173;666379;729934;778466;603527,0385
A0A1S3N1G1   ;Plexin-B2-like;LOC106576598;Belongs to the plexin family;61170,3;49766,2;61671,1;60601;79634,1;66516,6;44793,2;44007,9;40734,7;67482,9;48276,4;45317,5;84436,3;84609,2;89680,9;78341,4;84775,5;45741,6;40800,4;48097,5;58924,4;46901,6;48611,6;63532,40769
A0A1S3N1G3   ;DnaJ homolog subfamily C member 2-like;LOC106576547;;;;;;;;;;;;;;;;;;;;;;55649,5;;;50451,35
A0A1S3N1H2   ;Methionine aminopeptidase 2;LOC106576295;Belongs to the peptidase M24A family. Methionine aminopeptidase eukaryotic type 2 subfamily;312069;262937;301217;312069;307554;323107;390884;340476;382537;371344;391039;374764;177141;174869;144939;119928;145541;361522;375753;354316;256709;341851;321509;279104,9615
A0A1S3N1H4   ;Peptide-methionine (R)-S-oxide reductase;LOC106576618;Belongs to the MsrB Met sulfoxide reductase family;24648,3;23146,7;10178,1;17421,8;19975;21751,8;11781,7;17181,8;16569,2;11060,9;18693,7;14818,7;;;;;9249,16;16653,7;18133,6;12098,7;17452;22323;13301,9;15160,90273
A0A1S3N1K8   ;Zinc finger protein 624-like isoform X1;LOC106576584;;7631,45;7840,97;9601,1;5288,03;;7259,71;5359,01;6634,09;7587,17;;;6604,28;;;;;;8698,52;5315,01;7093,93;;10270;12098,9;7663,012143
A0A1S3N1M2   ;ELKS/Rab6-interacting/CAST family member 1-like;LOC106576657;;38685,5;28867,3;31243,9;29278,1;25740,6;28870,5;30226,1;29869,7;27226,1;28725,9;42484,9;43440,6;20497,8;19335,5;20967,6;10422,5;13944,7;32331,2;31116,3;21311,3;32378,7;26098,2;20501,9;26079,52115
A0A1S3N1M6   ;TBC1 domain family member 15-like;LOC106576658;;17085;17128,2;12880,5;15961,2;17553,5;17447,1;16840,9;11398,2;14888,7;13974;14743,1;14246;;;;;;15062,7;18271,1;21251,5;;17616,5;13877,6;15895,63529
A0A1S3N1P2   ;Protein FAM111A-like isoform X2;LOC106576675;;61296,5;36093,6;22532,3;15291,5;25551,8;28326;15333,2;16266,5;18524,2;26255,6;16102,6;19389,2;22433,7;18376,6;18348,3;12847,1;14356,2;50123,4;50225,4;48031,8;52297,9;48846;38635,9;28375,724
A0A1S3N1Q3   ;Eukaryotic translation initiation factor 3 subunit A;eif3a;Belongs to the eIF-3 subunit A family;89731,8;80422,4;67169,3;65708,5;42788,4;103567;79366,8;76927;55945;90601,9;53686,6;45977,9;71694,1;78770,1;111797;146926;98704;106230;111411;105368;119891;111389;110512;90166,73077
A0A1S3N1R1   ;5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase;LOC106576625;Belongs to the DCP1 family;;;;7591,98;10590,1;9655,27;;;;;;;;;;;;;;;;;;9279,116667
A0A1S3N1T8   ;Interleukin-1 receptor-associated kinase 3-like isoform X2;LOC106576647;Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. Pelle subfamily;;10334,6;12201,1;15069,9;;;16524,2;10112,3;12665,1;22035,9;16701,8;17574,6;;;;;;11700,5;10247,8;;;;17430,2;14383,16667
A0A1S3N1U1   ;Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1-like isoform X2;LOC106576680;;44931,6;47263,5;45839,7;47448,1;45355,2;49919,9;63946,8;54436,4;55447,1;47472,7;51475,2;51660;;;;;;50171,9;55032,1;54960;31059,4;45877,8;48996,3;49516,31667
A0A1S3N1U9   ;Differentially expressed in FDCP 6-like;LOC106576376;;8514,93;;12124,2;10163,7;10562,1;12787,3;;5155,22;8405,88;8401,26;9190,6;8517,83;11076,9;11752,1;10761,9;;;13969,3;11803,1;;12026,5;14660,2;11636,2;10578,5735
A0A1S3N1V6   ;Lymphocyte-specific helicase-like isoform X2;LOC106576686;;11917;7369,91;7437,63;11044;6963,08;8518,03;11410,3;13615,8;14289,6;15791,3;17950,4;11986,9;;;;;;;11358,8;9931,72;12297,9;12730,1;;11538,27938
A0A1S3N1W1   ;Cytosolic purine 5'-nucleotidase;nt5c2;Belongs to the 5'(3')-deoxyribonucleotidase family;176989;185060;179549;227224;207683;225826;150414;159070;165000;187620;187827;174979;326258;350600;314251;279827;277462;174904;192486;179574;181405;203289;206290;219979,9615
A0A1S3N1W6   ;BLOC-1-related complex subunit 7;borcs7;Belongs to the BORCS7 family;;;;;;6141,05;;;;;;;;;;;7391,87;;;;;;;6766,46
A0A1S3N1W8   ;Anoctamin;LOC106576394;Belongs to the anoctamin family;;;30648;25764,8;;;;46039,5;;;;;;;;;;;;;;;;34150,76667
A0A1S3N1X3   ;Plakophilin-2-like;LOC106576400;Belongs to the beta-catenin family;47055,4;;32484,8;;;40156,5;49197,9;89803,3;;45534,8;;;;;;;;76663,5;;;;;70936,8;56479,125
A0A1S3N213   ;Uncharacterized protein LOC106576710;LOC106576710;;184765;95999,5;146666;120302;127676;137744;218147;172364;190110;185969;150107;170799;51338,5;58149,4;80345,3;386079;401303;162553;146458;169346;152077;98927,7;131329;181023,8269
A0A1S3N219   ;Ectonucleoside triphosphate diphosphohydrolase 6;entpd6;Belongs to the GDA1/CD39 NTPase family;21382,4;;20089,8;;16332,6;12983,5;;;;17687,8;;;;;;;;;;;;;;17695,22
A0A1S3N244   ;Neuronal cell adhesion molecule-like;LOC106576674;Belongs to the immunoglobulin superfamily. L1/neurofascin/NgCAM family;7742,26;;12922,3;12431,5;7245,09;;;10841,9;;;;10658,9;14839,6;15116,9;24941,8;;11035,9;;;;;;;12826,24538
A0A1S3N248   ;Beta-2-microglobulin;LOC106576676;Belongs to the beta-2-microglobulin family;925679;705966;897158;1241350;1437190;1431820;504596;660532;669780;712942;665178;582346;151903;174204;106765;214425;295493;705441;700859;883728;911995;627764;703362;635582
A0A1S3N253   ;LIM domain-binding protein 3 isoform X1;ldb3;;;;;39375,5;23843,9;;27568,3;68351,4;;;76815,4;23422,2;;;;;;81798,4;;;;;;52870,925
A0A1S3N254   ;Serine/threonine protein phosphatase 2A regulatory subunit;ppp2r5d;Belongs to the phosphatase 2A regulatory subunit B56 family;84788;81790,4;75516,7;88120,7;85335;87696,6;94072;96374,6;90585,9;103272;106174;104342;;;;;;77376,8;72409,8;82485;63601,4;70869,5;85843,2;81916,24632
A0A1S3N260   ;Succinate dehydrogenase assembly factor 4, mitochondrial;LOC106576700;Belongs to the SDHAF4 family;;9957,93;;;;;13421,6;;;;15795,1;16862,9;;;;;;;;;20257,9;17519,4;19444,2;15916,59125
A0A1S3N262   ;Nuclear factor NF-kappa-B p100 subunit isoform X1;nfkb2;;20764,6;17521,4;17939,3;19381,6;23497,2;23328,1;21396,4;22607,7;31609;19837;24032,5;17347,9;;;;;1998,15;19008,4;17558,9;24375;18411,3;25486,7;26462,1;20661,22368
A0A1S3N277   ;Protein quaking isoform X2;qki;Belongs to the quaking family;;10670,4;;13776,6;10649,1;8649,44;;8742,4;8986,4;;7352,14;11012,1;;;12951,7;;;;;;15908,7;;;11024,74364
A0A1S3N2A0   ;Epithelial cell adhesion molecule isoform X3;epcam;;138042;171115;174529;79774,3;131975;194624;93932,5;74561,1;121379;316439;193812;84950,1;756659;747100;745616;718527;629154;422427;361036;508100;716377;494571;490055;395594,2692
A0A1S3N2A6   ;Glutathione S-transferase kappa;LOC106576751;Belongs to the GST superfamily. Kappa family;9575,41;36941,9;9806,19;37125,7;12083,7;11218,2;12386,4;7783,65;24914,1;18650,5;16191,1;6856,67;;;;;;;4296,53;4787,95;;;3075,58;14379,572
A0A1S3N2C3   ;Cullin-9-like isoform X3;LOC106576725;Belongs to the cullin family;56417,1;47456,2;62426,6;48488,3;70131,2;70686,5;77176,3;74548,1;67901,7;80770;81178,8;74176,9;59839;71973,8;56710;55834,3;53061,4;54332,9;64113,7;69383;52284,9;55149,9;64291,4;63328,70385
A0A1S3N2D2   ;2'-deoxynucleoside 5'-phosphate N-hydrolase 1;dnph1;Belongs to the 2'-deoxynucleoside 5'-phosphate N-hydrolase 1 family;22308;14681,2;6345,53;21815,2;20543,9;19517,1;32519,2;27406,7;23505,7;23731,2;38481,4;31866,1;10358,3;6862,95;;8471,1;6060,9;14135,5;13142,2;11115,5;;8118,5;7742,57;16451,86435
A0A1S3N2D7   ;Tight junction-associated protein 1 isoform X2;tjap1;;26090,1;17684;18680,7;17827,2;20628,3;17673,2;21982,7;13053;14377,2;15659,7;22830,4;21544,8;18576,2;26699,4;26966,9;22316,6;20155,2;13224,9;30099,2;19390,3;28419,8;27201,3;24212,9;21404,10385
A0A1S3N2E5   ;Carboxylic ester hydrolase;LOC106576499;Belongs to the type-B carboxylesterase/lipase family;25253,7;31314,3;18643,3;32447,9;14575;15813,6;13534,4;27627,6;18723,4;18305,8;18742,4;23103,4;21148,9;21787,2;36032,8;22787,2;11112,1;11959,6;8855,36;10788;;9274,09;10246,9;19070,11
A0A1S3N2F0   ;Protein FAM3C-like;LOC106576502;Belongs to the FAM3 family;22281;14339,5;13066,8;20380,8;13176,3;10011,3;13799,5;18627,6;13110,6;18302,2;15241,1;16030,6;;4000,4;;;3948,34;11697,7;;;;9701,07;;13607,17563
A0A1S3N2G6   ;Echinoderm microtubule-associated protein-like 4 isoform X3;LOC106576747;Belongs to the WD repeat EMAP family;82355,3;107657;83809,5;104591;83541,2;92772,6;85017,7;88145,6;96391,5;78870,3;84975,1;82301,9;82009;64934;97617,8;103823;70862,1;84375,4;82198;76310;69958,6;92896,4;84113,8;86599,33846
A0A1S3N2G8   ;TATA-binding protein-associated factor 172-like;LOC106576794;;7659,56;8040,03;;8726,88;11392,1;6995,55;8262,68;10641,8;7961,21;;13539,1;10433,7;;;;;;9938,44;9066,09;10464,5;;7857,1;12171,9;9543,376
A0A1S3N2I7   ;Insulin-degrading enzyme isoform X1;LOC106576795;Belongs to the peptidase M16 family;51341,3;45242,2;53401,8;45462;47747,3;53628,6;66269,9;56566,7;56316,6;57443,4;52800,9;60036,8;;;6389,15;;5135,43;45849,9;55733,4;57357,5;30619;42860,4;50591,3;47039,679
A0A1S3N2J0   ;Regulator of microtubule dynamics protein 2;LOC106576802;Belongs to the RMDN family;5911,73;6045,48;4559,43;;4891,5;;;5578,81;5564,14;6224,59;4948,93;4073,58;;;;;;6637,35;4748,76;;;5651,47;7334,62;5551,568462
A0A1S3N2J3   ;Mitochondrial-processing peptidase subunit beta;LOC106576546;Belongs to the peptidase M16 family;104270;87146,1;96010,6;103304;106723;118675;125334;118104;137886;121494;113880;121661;;;22204,4;;;92483,5;110179;97214,2;95491;97771,4;98134,4;99218,655
A0A1S3N2L5   ;DNA-directed RNA polymerase subunit beta;polr1b;Belongs to the RNA polymerase beta chain family;24191,2;30452,4;27148,7;25980,5;25531;22748,7;34970,1;32012,8;36050,9;27254,7;33792,4;39121,3;;;;;;25561,8;29989,1;30199,2;23695,8;26614,6;27022,9;29018,78333
A0A1S3N2N0   ;Nucleolysin TIAR-like isoform X2;LOC106576826;;80805,6;;69242,9;34826,6;65474,2;72537,8;64967;55414,9;;100206;85592,7;68959,3;91457,2;99783,2;85913,3;65185,5;64200,2;92826,6;78690,1;85374,5;94820;82218,8;108698;77502,05833
A0A1S3N2N7   ;Tripartite motif-containing protein 35-like;LOC106576819;;14706,2;17521,6;16776,9;21924,3;25110;21193,7;20684,2;25161,2;28789,2;16857,4;22001;25480,5;;;;;;18760,1;18990,5;16081;12466,4;14963,3;15105,8;19587,40556
A0A1S3N2N8   ;Probable E3 ubiquitin-protein ligase HERC4 isoform X1;herc4;;62111,2;14032,9;12639,3;17480,4;29523,4;35698,2;25585,5;46468,6;28243,1;38261,1;26997,4;32768,4;;;;;;27034,8;27420,6;28118,1;70726;34279,9;132445;38324,10556
A0A1S3N2P0   ;SEC23-interacting protein-like isoform X1;LOC106576824;Belongs to the PA-PLA1 family;125903;193773;104311;218455;137950;127551;139725;157771;180698;98069,8;108034;145684;62989,8;77097,8;55724,6;40605,2;45144,9;112461;114389;99700,4;84745;90474,4;91761,7;105959,9192
A0A1S3N2R0   ;Leucine-rich repeat flightless-interacting protein 2;lrrfip2;Belongs to the LRRFIP family;72256,9;70832;74189,3;78061,3;69741,1;67500,7;42099,6;52039,7;49125,9;46453,5;59044,2;51597,3;15368,1;15021,3;24121,7;27329,2;24455,4;68219,5;73582,8;55622,9;91658,7;61055,8;67549,4;51157,56154
A0A1S3N2T2   ;Palmitoyltransferase;LOC106576620;Belongs to the DHHC palmitoyltransferase family;;;;;;;5188,69;;3143,22;;6728,48;5955,13;;;;;;;;6579,13;;;8862,31;6076,16
A0A1S3N2U6   ;LIM domain-binding protein 1-like isoform X2;LOC106576859;Belongs to the LDB family;9590,82;7849,08;10337,2;7980,04;;7357,2;6342,42;7007,23;8457,85;10638;6995,39;7666,25;;;;;;9249,83;8312,24;11187,2;7945,55;8682,99;11666,4;8662,687647
A0A1S3N2V7   ;Protein O-GlcNAcase-like isoform X1;LOC106576856;;7351,2;8059,46;8282,52;6165,89;6451,44;5151,56;7572,97;7883,25;7603,54;7900,65;8854,26;7567,27;;;;;;5564,48;4704,77;4491,84;;;6147,09;6859,511875
A0A1S3N2X9   ;Probable 28S rRNA (Cytosine-C(5))-methyltransferase;LOC106576663;Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB/NOP family;36526,2;;44987,2;;47191,3;53192,4;;;;;;17301,8;;;;;;;;;;;;36610,15
A0A1S3N2Y2   ;Nucleolysin TIAR-like isoform X1;LOC106576826;;21935,7;22305,8;;24524,5;22439;;27723,2;28369,8;29017,9;25050,9;30309,8;31719,8;;;;;;25590,7;24099,3;27010,9;;20837,8;20715,4;25443,36667
A0A1S3N2Z0   ;Kinesin light chain;LOC106576879;Belongs to the kinesin light chain family;119230;112753;133190;123548;119435;133210;172121;164426;156195;174584;164186;155124;38198,9;36913;40482,5;33786,4;31061;156813;149426;148713;144564;162429;167772;113270,1962
A0A1S3N2Z8   ;C-X-C motif chemokine 9-like;LOC106576872;;;;;22043,1;37583,3;24211,2;12133;44915,5;34508,8;40705,3;;34240,3;;;;;;;;15737,4;55681,1;;;32175,9
A0A1S3N308   ;Erlin-1;LOC106576878;Belongs to the band 7/mec-2 family;30486,6;23410,6;32928,7;28743,6;32340,5;39555,4;45313,3;48728,7;32683,1;65389,5;47542,4;45105,1;;;;6510,2;9648,12;68439,8;75928,8;130565;52879,2;96237,3;111339;45659,70217
